"Category ID";"Active (0/1)";"Name*";"Parent category";"Root category(0/1)";"Description";"Meta title";"Meta keywords";"Meta description";"URL rewritten";"Image URL"
"26";"1";"Telstar Favorieten";"Home";"0";;"Telstar Favorieten";"Telstar Favorieten";"Telstar Favorieten";"telstar-favorieten";
"25";"1";"Super Piraten CD";"Home";"0";;"Super Piraten CD";"Super Piraten CD";"Super Piraten CD";"super-piraten-cd";
"24";"1";"Originele Piratenhits";"Home";"0";;"Originele Piratenhits";"Originele Piratenhits";"Originele Piratenhits";"originele-piratenhits";
"23";"1";"POLKA  CD  assortiment";"Home";"0";"Polka CD albums";"POLKA  CD  assortiment";"POLKA  CD  assortiment";"POLKA  CD  assortiment";"polka-cd-assortiment";
"19";"1";"koffers / Diversen";"Home";"0";;"koffers / Diversen";"koffers / Diversen";"koffers / Diversen";"koffers-diversen";
"30";"1";"vinyl singles ned - talig";"Home";"0";;"vinyl singles ned - talig";"vinyl singles ned - talig";"vinyl singles ned - talig";"vinyl-singles-ned-talig";
"28";"1";"vinyl singles  duitstalig";"Home";"0";;"vinyl singles  duitstalig";"vinyl singles  duitstalig";"vinyl singles  duitstalig";"vinyl-singles-duitstalig";
"27";"1";"vinyl  engels talig ";"Home";"0";;"vinyl  engels talig ";"vinyl  engels talig ";"vinyl  engels talig ";"vinyl-engels-talig";
"29";"1";"vinyl singles instrumentaal";"Home";"0";;"vinyl singles instrumentaal";"vinyl singles instrumentaal";"vinyl singles instrumentaal";"vinyl-singles-instrumentaal";
"21";"1";"LIMBO SINGLES";"Home";"0";"TEST";"LIMBO SINGLES";"LIMBO SINGLES";"LIMBO SINGLES";"limbo-singles";"img/p/8/6/2/862-home_default.jpg"
"22";"1";"LPS POLKA ASSORTIMENT UIT AMERIKA ";"Home";"0";;"LPS POLKA ASSORTIMENT UIT AMERIKA ";"LPS POLKA ASSORTIMENT UIT AMERIKA ";"LPS POLKA ASSORTIMENT UIT AMERIKA ";"lps-polka-assortiment-uit-amerika";
"20";"1";"CD'S HET BESTE VAN";"Home";"0";;"CD'S HET BESTE VAN";"CD'S HET BESTE VAN";"CD'S HET BESTE VAN";"cds-het-beste-van";
"16";"1";"NEDERLANDSTALIG  A-Z";"Home";"0";;"NEDERLANDSTALIG  A-Z";"NEDERLANDSTALIG  A-Z";"NEDERLANDSTALIG  A-Z";"nederlandstalig-a-z";
"15";"1";"DUITSTALIG";"Home";"0";;"DUITSTALIG";"DUITSTALIG";"DUITSTALIG";"duitstalig";
"17";"1";"ENGELSTALIG";"Home";"0";;"ENGELSTALIG";"ENGELSTALIG";"ENGELSTALIG";"engelstalig";
"18";"1";"TIROLER";"Home";"0";;"TIROLER";"TIROLER";"TIROLER";"tiroler";
"31";"1";"JBS NIEUWE SERIE 100% VINYL";"Home";"0";;"JBS NIEUWE SERIE 100% VINYL";"JBS NIEUWE SERIE 100% VINYL";"JBS NIEUWE SERIE 100% VINYL";"jbs-nieuwe-serie-100-vinyl";
"32";"1";"ANTENNEHITS 1 t/m 29";"Home";"0";;"ANTENNEHITS 1 t/m 29";"ANTENNEHITS 1 t/m 29";"ANTENNEHITS 1 t/m 29";"antennehits-1-tm-29";
"33";"1";"JBS Single's uit de jaren 80";"Home";"0";;"JBS Single's uit de jaren 80";"JBS Single's uit de jaren 80";"JBS Single's uit de jaren 80";"jbs-singles-uit-de-jaren-80";
"34";"1";"KENT U ZE NOG ?+ DO YOU REMEMBER";"Home";"0";;"KENT U ZE NOG ?+ DO YOU REMEMBER";"KENT U ZE NOG ?+ DO YOU REMEMBER";"KENT U ZE NOG ?+ DO YOU REMEMBER";"kent-u-ze-nog-do-you-remember";
"35";"1";"Golden Oldies  (Philips)";"Home";"0";;"Golden Oldies  (Philips)";"Golden Oldies  (Philips)";"Golden Oldies  (Philips)";"golden-oldies-philips";
"36";"1";"Div Cd s";"Home";"0";;"Div Cd s";"Div Cd s";"Div Cd s";"div-cd-s";
"37";"1";"DUBBEL GOUD  1 t/m 96";"Home";"0";;"DUBBEL GOUD  1 t/m 96";"DUBBEL GOUD  1 t/m 96";"DUBBEL GOUD  1 t/m 96";"dubbel-goud-1-tm-96";
"38";"1";"Non records singles";"Home";"0";;"Non records singles";"Non records singles";"Non records singles";"non-records-singles";
"39";"1";"REGENBOOGSERIE CD";"Home";"0";;"REGENBOOGSERIE CD";"REGENBOOGSERIE CD";"REGENBOOGSERIE CD";"regenboogserie-cd";
"40";"1";"polka time 1 t/m 14 vinyl Limbo";"Home";"0";;"polka time 1 t/m 14 vinyl Limbo";"polka time 1 t/m 14 vinyl Limbo";"polka time 1 t/m 14 vinyl Limbo";"polka-time-1-tm-14-vinyl-limbo";
"41";"1";"VINYL JBS  LABEL";"Home";"0";;"VINYL JBS  LABEL";"VINYL JBS  LABEL";"VINYL JBS  LABEL";"vinyl-jbs--label";
"42";"1";"Philips vinyl 70 t/m 80";"Home";"0";;"Philips vinyl 70 t/m 80";"Philips vinyl 70 t/m 80";"Philips vinyl 70 t/m 80";"philips-vinyl-70-tm-80";
"43";"1";"Polka  JBS SERIE kijk onder de P Nederlandstalig";"Home";"0";;"Polka  JBS SERIE kijk onder de P Nederlandstalig";"Polka  JBS SERIE kijk onder de P Nederlandstalig";"Polka  JBS SERIE kijk onder de P Nederlandstalig";"polka-jbs-serie-kijk-onder-de-p-nederlandstalig";
"44";"1";"TELSTAR SINGLE'S JBS SERIE KIJK ONDER DE T nederlandstalig A - Z";"Home";"0";;"TELSTAR SINGLE'S JBS SERIE KIJK ONDER DE T nederlandstalig A - Z";"TELSTAR SINGLE'S JBS SERIE KIJK ONDER DE T nederlandstalig A - Z";"TELSTAR SINGLE'S JBS SERIE KIJK ONDER DE T nederlandstalig A - Z";"telstar-singles-jbs-serie-kijk-onder-de-t-nederlandstalig-a-z";
"45";"1";"Telstar  Ojee";"Home";"0";;"Telstar  Ojee";"Telstar  Ojee";"Telstar  Ojee";"telstar-ojee";
"46";"1";"ZEE ZENDER VERONICA !";"Home";"0";;"ZEE ZENDER VERONICA !";"ZEE ZENDER VERONICA !";"ZEE ZENDER VERONICA !";"zee-zender-veronica";
"47";"1";"OLDIES but GOLDIES";"Home";"0";;"OLDIES but GOLDIES";"OLDIES but GOLDIES";"OLDIES but GOLDIES";"oldies-but-goldies";
"48";"1";"DUBBELGOUD UIT BELGIE";"Home";"0";;"DUBBELGOUD UIT BELGIE";"DUBBELGOUD UIT BELGIE";"DUBBELGOUD UIT BELGIE";"dubbelgoud-uit-belgie";
