"Category ID";"Active (0/1)";"Name*";"Parent category";"Root category (0/1)";"Description";"Meta title";"Meta keywords";"Meta description";"URL rewritten";"Image URL"
"52";"1";"SWART SILVIA";"NEDERLANDSTALIG  A-Z";"0";;"SWART SILVIA";"SWART SILVIA";"SWART SILVIA";"swart-silvia";
"53";"1";"MIGRA'S";"NEDERLANDSTALIG  A-Z";"0";;"MIGRA'S";"MIGRA'S";"MIGRA'S";"migra-s";
"55";"1";"JANSEN ARNE";"NEDERLANDSTALIG  A-Z";"0";;"JANSEN ARNE";"JANSEN ARNE";"JANSEN ARNE";"jansen-arne";
"56";"1";"SCHOONEBEEK GERARD";"NEDERLANDSTALIG  A-Z";"0";;"SCHOONEBEEK GERARD";"SCHOONEBEEK GERARD";"SCHOONEBEEK GERARD";"schoonebeek-gerard";
"57";"1";"AD EN KARIN - AD VAN HOORN";"NEDERLANDSTALIG  A-Z";"0";;"AD EN KARIN - AD VAN HOORN";"AD EN KARIN - AD VAN HOORN";"AD EN KARIN - AD VAN HOORN";"ad-en-karin-ad-van-hoorn";
"58";"1";"DUTCH BOYS";"NEDERLANDSTALIG  A-Z";"0";;"DUTCH BOYS";"DUTCH BOYS";"DUTCH BOYS";"dutch-boys";
"59";"1";"STENEKER BEN";"NEDERLANDSTALIG  A-Z";"0";;"STENEKER BEN";"STENEKER BEN";"STENEKER BEN";"steneker-ben";
"60";"1";"CALIMERO'S";"DUITSTALIG";"0";;"CALIMERO'S";"CALIMERO'S";"CALIMERO'S";"calimero-s";
"61";"1";"ROFFELS";"NEDERLANDSTALIG  A-Z";"0";;"ROFFELS";"ROFFELS";"ROFFELS";"roffels";
"63";"1";"FLIPPERS";"DUITSTALIG";"0";;"FLIPPERS";"FLIPPERS";"FLIPPERS";"flippers";
"64";"1";"WIJNGAARD HENK";"NEDERLANDSTALIG  A-Z";"0";;"WIJNGAARD HENK";"WIJNGAARD HENK";"WIJNGAARD HENK";"wijngaard-henk";
