"Category ID";"Active (0/1)";"Name*";"Parent category";"Root category (0/1)";"Description";"Meta title";"Meta keywords";"Meta description";"URL rewritten";"Image URL"
"1942";"1";"Silvia";"Artiest";"0";"Silvia";"Silvia";"Silvia";"Silvia";"silvia";
"1943";"1";"div artiesten";"Artiest";"0";"div artiesten";"div artiesten";"div artiesten";"div artiesten";"div-artiesten";
"1944";"1";"Switch Combo ";"Artiest";"0";"Switch Combo ";"Switch Combo ";"Switch Combo ";"Switch Combo ";"switch-combo";
"1945";"1";"Tosti Band  Evert Westerhuis";"Artiest";"0";"Tosti Band  Evert Westerhuis";"Tosti Band  Evert Westerhuis";"Tosti Band  Evert Westerhuis";"Tosti Band  Evert Westerhuis";"tosti-band-evert-westerhuis";
"1946";"1";"Het Sneeuwbal Trio";"Artiest";"0";"Het Sneeuwbal Trio";"Het Sneeuwbal Trio";"Het Sneeuwbal Trio";"Het Sneeuwbal Trio";"het-sneeuwbal-trio";
"1947";"1";"Benny Bottram";"Artiest";"0";"Benny Bottram";"Benny Bottram";"Benny Bottram";"Benny Bottram";"benny-bottram";
"1948";"1";"The Starfighters";"Artiest";"0";"The Starfighters";"The Starfighters";"The Starfighters";"The Starfighters";"the-starfighters";
"1949";"1";"Leo de Kraay";"Artiest";"0";"Leo de Kraay";"Leo de Kraay";"Leo de Kraay";"Leo de Kraay";"leo-de-kraay";
"1950";"1";"Antko en Sylvia Greven";"Artiest";"0";"Antko en Sylvia Greven";"Antko en Sylvia Greven";"Antko en Sylvia Greven";"Antko en Sylvia Greven";"antko-en-sylvia-greven";
"1951";"1";"Jose";"Artiest";"0";"Jose";"Jose";"Jose";"Jose";"jose";
"1952";"1";"Bert en Alyssa b kant Tjeerd Venema";"Artiest";"0";"Bert en Alyssa b kant Tjeerd Venema";"Bert en Alyssa b kant Tjeerd Venema";"Bert en Alyssa b kant Tjeerd Venema";"Bert en Alyssa b kant Tjeerd Venema";"bert-en-alyssa-b-kant-tjeerd-venema";
"1953";"1";"Joey Tomsick (silver vinyl)";"Artiest";"0";"Joey Tomsick (silver vinyl)";"Joey Tomsick (silver vinyl)";"Joey Tomsick (silver vinyl)";"Joey Tomsick (silver vinyl)";"joey-tomsick-silver-vinyl";
"1954";"1";"Walter Ostanec Beny Rehmann ( goud vinyl) ";"Artiest";"0";"Walter Ostanec Beny Rehmann ( goud vinyl) ";"Walter Ostanec Beny Rehmann ( goud vinyl) ";"Walter Ostanec Beny Rehmann ( goud vinyl) ";"Walter Ostanec Beny Rehmann ( goud vinyl) ";"walter-ostanecbeny-rehmanngoud-vinyl";
"1955";"1";"Al Meixner ( blauw vinyl )";"Artiest";"0";"Al Meixner ( blauw vinyl )";"Al Meixner ( blauw vinyl )";"Al Meixner ( blauw vinyl )";"Al Meixner ( blauw vinyl )";"al-meixner-blauw-vinyl";
"1956";"1";"The Zolka Brothers (gekleurd vinyl )";"Artiest";"0";"The Zolka Brothers (gekleurd vinyl )";"The Zolka Brothers (gekleurd vinyl )";"The Zolka Brothers (gekleurd vinyl )";"The Zolka Brothers (gekleurd vinyl )";"the-zolka-brothers-gekleurd-vinyl";
"1957";"1";"Walter Ostanek Beny Rehmann (oranje vinyl transparant )";"Artiest";"0";"Walter Ostanek Beny Rehmann (oranje vinyl transparant )";"Walter Ostanek Beny Rehmann (oranje vinyl transparant )";"Walter Ostanek Beny Rehmann (oranje vinyl transparant )";"Walter Ostanek Beny Rehmann (oranje vinyl transparant )";"walter-ostanekbeny-rehmann-oranje-vinyl-transparant";
"1958";"1";"Don Lipovac Orchestra (lichtgroen vinyl )";"Artiest";"0";"Don Lipovac Orchestra (lichtgroen vinyl )";"Don Lipovac Orchestra (lichtgroen vinyl )";"Don Lipovac Orchestra (lichtgroen vinyl )";"Don Lipovac Orchestra (lichtgroen vinyl )";"don-lipovac-orchestra-lichtgroen-vinyl";
"1959";"1";"Ed Klancnik 3rd Generation (geel vinyl)";"Artiest";"0";"Ed Klancnik 3rd Generation (geel vinyl)";"Ed Klancnik 3rd Generation (geel vinyl)";"Ed Klancnik 3rd Generation (geel vinyl)";"Ed Klancnik 3rd Generation (geel vinyl)";"ed-klancnik3rd-generation-geel-vinyl";
"1960";"1";"Walter Ostanec Beny Rehmann ( blauw vinyl transparant )";"Artiest";"0";"Walter Ostanec Beny Rehmann ( blauw vinyl transparant )";"Walter Ostanec Beny Rehmann ( blauw vinyl transparant )";"Walter Ostanec Beny Rehmann ( blauw vinyl transparant )";"Walter Ostanec Beny Rehmann ( blauw vinyl transparant )";"walter-ostanecbeny-rehmann-blauw-vinyl-transparant";
"1961";"1";" Rob Kravos (wit vinyl )";"Artiest";"0";" Rob Kravos (wit vinyl )";" Rob Kravos (wit vinyl )";" Rob Kravos (wit vinyl )";" Rob Kravos (wit vinyl )";"rob-kravos-wit-vinyl";
"1962";"1";"RON PIVOVAR - 11";"Artiest";"0";"RON PIVOVAR - 11";"RON PIVOVAR - 11";"RON PIVOVAR - 11";"RON PIVOVAR - 11";"ron-pivovar11";
"1963";"1";"Lynn Marie";"Artiest";"0";"Lynn Marie";"Lynn Marie";"Lynn Marie";"Lynn Marie";"lynn-marie";
"1964";"1";"Roger Bright";"Artiest";"0";"Roger Bright";"Roger Bright";"Roger Bright";"Roger Bright";"roger-bright";
"1965";"1";"Joe Grkman";"Artiest";"0";"Joe Grkman";"Joe Grkman";"Joe Grkman";"Joe Grkman";"joe-grkman";
